slide_id,Y,Y_hat,p_0,p_1
TCGA-EJ-5516-01Z-00-DX1.50003728-b68b-4e22-96d8-8fce43a03274,1.0,1.0,0.4023309051990509,0.5976690649986267
TCGA-EJ-5516-01A-01-TS1.048ee951-5473-4ba0-a269-1d5609261e07,1.0,1.0,0.10858142375946045,0.8914185762405396
TCGA-EJ-5530-01Z-00-DX1.4f83f733-4b4a-4ede-b0e9-9a782325a653,1.0,1.0,0.04100355505943298,0.9589964151382446
TCGA-EJ-5530-01A-01-TS1.827d851c-4007-44ad-8585-5c9dfdda6f9d,1.0,1.0,0.06564547121524811,0.9343545436859131
TCGA-EJ-5530-01A-01-BS1.3287f2f2-cdac-401b-9cb2-b72ae7249f69,1.0,1.0,0.029933681711554527,0.9700663685798645
TCGA-EJ-7791-01Z-00-DX1.32e325ff-30d5-4f07-a7b6-914a412cecf7,1.0,1.0,0.21011608839035034,0.7898839116096497
TCGA-EJ-7791-01A-01-BS1.93e59ad3-c09a-40cb-a9d5-6c8704c2d952,1.0,1.0,0.07567434012889862,0.924325704574585
TCGA-EJ-7791-01A-01-TS1.e22e694d-19c0-45d8-99db-041b30c1b363,1.0,1.0,0.12284723669290543,0.8771527409553528
TCGA-EJ-A65E-01A-01-TSA.5CCA7B30-7494-41FE-952E-67669C017AE1,1.0,1.0,0.023746080696582794,0.976253867149353
TCGA-EJ-A6RC-01A-01-TSA.CE54A4F9-3819-40DF-BFBE-97244505966F,1.0,1.0,0.09997429698705673,0.9000257253646851
TCGA-EJ-A7NH-01A-01-TSA.E744E068-A3A4-482A-91E2-B776980189B6,1.0,1.0,0.22349737584590912,0.7765026688575745
TCGA-G9-6336-01A-01-TS1.e4b220ac-6221-4e03-b59a-b7df93808893,1.0,1.0,0.03706708922982216,0.9629328846931458
TCGA-G9-6336-01Z-00-DX1.ec538aa0-4ecf-412c-9a5f-4babd4201307,1.0,1.0,0.014717158861458302,0.9852827787399292
TCGA-HC-7081-01A-01-TS1.6d85eaa2-aaa8-404c-8be1-f1be693b1792,1.0,1.0,0.29706627130508423,0.7029337286949158
TCGA-HC-7081-01Z-00-DX1.d4118273-e95d-41ed-9154-188ef3e005a4,1.0,1.0,0.07187045365571976,0.9281296133995056
TCGA-HC-7081-01A-01-BS1.90f27139-f055-4e70-a7e1-51e495f9856d,1.0,0.0,0.5326528549194336,0.467347115278244
TCGA-HC-7213-01A-01-TS1.ced3b462-b10b-46af-80e2-71ddc7e5fe6d,0.0,0.0,0.6945412158966064,0.30545875430107117
TCGA-HC-7213-01Z-00-DX1.5b03a3f2-ae77-4906-81b6-e9a5c0c5ed16,0.0,1.0,0.29020068049430847,0.7097992897033691
TCGA-HC-A6HY-01A-01-TS1.0B1BE707-414A-499F-A12B-476833696F68,1.0,1.0,0.035832908004522324,0.9641671180725098
TCGA-HC-A6HY-01Z-00-DX1.9753A5EC-6068-4502-ACBB-4C6F1EA77AF9,1.0,1.0,0.005118964705616236,0.9948810338973999
TCGA-HC-A9TH-01A-01-TS1.CAC5B6C9-1004-4198-BC84-4CAA1336DAF3,1.0,0.0,0.8710602521896362,0.12893976271152496
TCGA-HC-A9TH-01Z-00-DX1.13526861-B926-4CF5-9E99-D4A8FFFBBE7C,1.0,0.0,0.5778507590293884,0.4221492409706116
TCGA-J4-AAU2-01Z-00-DX1.856D1A98-E6A7-499C-9645-E598523C10CB,1.0,1.0,0.2407124638557434,0.7592875361442566
TCGA-J4-AAU2-01A-01-TS1.D84207E7-8FE5-4811-AEFB-AB37C5C9AFC3,1.0,1.0,0.09623861312866211,0.9037613272666931
TCGA-KK-A59Y-01Z-00-DX1.0DB9AF4D-4879-4295-A321-CBEE0FE6B2A0,1.0,1.0,0.16800899803638458,0.8319910764694214
TCGA-KK-A59Y-01A-01-TSA.68765CB3-D391-44FB-BDB4-DD382B2E9AD5,1.0,1.0,0.01838843524456024,0.9816115498542786
TCGA-KK-A59Z-01Z-00-DX1.83C16C66-CA61-4E86-8CFE-D2A24CEFE69C,0.0,0.0,0.7727285027503967,0.22727149724960327
TCGA-KK-A59Z-01A-01-TSA.827FAA8C-0591-42FE-937D-F8911EA57E5A,0.0,0.0,0.8790802359580994,0.12091975659132004
TCGA-KK-A6E5-01Z-00-DX1.964904F1-91C5-4A3E-952D-EB8B78138389,0.0,1.0,0.3705925941467285,0.6294074058532715
TCGA-KK-A6E5-01A-01-TS1.71222DBD-35EA-4959-A0ED-D645EA577CC6,0.0,1.0,0.09406924247741699,0.905930757522583
TCGA-KK-A7AW-01A-01-TS1.789FFFA9-C1B6-4852-A383-48EC3DF46075,1.0,1.0,0.39075958728790283,0.6092404127120972
TCGA-KK-A7AW-01Z-00-DX1.F8A3E0D5-AC32-4C57-8AE2-5B98790544E7,1.0,1.0,0.17891910672187805,0.8210808634757996
TCGA-KK-A7B1-01A-01-TSA.8790DDC2-3E46-4D66-9C4B-765AE80EFB79,1.0,1.0,0.016499947756528854,0.9835000038146973
TCGA-KK-A7B1-01Z-00-DX1.18931C6F-1F93-49CF-BF9D-3C913B0609B7,1.0,1.0,0.1247640922665596,0.8752358555793762
TCGA-KK-A8I8-01A-01-TSA.CF36FA55-B601-4D89-9A5E-A514EDB8D34F,1.0,1.0,0.08392643928527832,0.9160735011100769
TCGA-KK-A8I8-01Z-00-DX1.9C138C77-7DD7-4EE0-A34C-D4B629E18087,1.0,1.0,0.12077105045318604,0.879228949546814
TCGA-KK-A8IB-01A-01-TSA.CEC4A2F0-B077-4FBF-AEB3-FC2991150015,0.0,0.0,0.5310800671577454,0.468919962644577
TCGA-KK-A8IB-01Z-00-DX1.84831EF3-B283-4152-9A81-426E3099882D,0.0,0.0,0.5253018140792847,0.47469818592071533
TCGA-KK-A8IJ-01Z-00-DX1.84EA7BE5-2707-4DDC-965F-1D65A0BCD280,1.0,1.0,0.40066924691200256,0.599330723285675
TCGA-KK-A8IJ-01A-01-TSA.162D3490-4FE7-441A-9099-D94194072B8F,1.0,1.0,0.4860668480396271,0.5139331221580505
TCGA-QU-A6IL-01Z-00-DX1.675EB89C-5DBA-4C92-9330-2C1715633964,1.0,1.0,0.09638885408639908,0.9036111235618591
TCGA-QU-A6IL-01A-01-TS1.D449866D-370A-465C-9C4E-513D6438DF31,1.0,1.0,0.02839032933115959,0.9716097116470337
TCGA-V1-A8WN-01Z-00-DX1.BE5E60A2-FF72-421B-A356-7644493DC708,1.0,1.0,0.006560362875461578,0.9934396147727966
TCGA-V1-A8WN-01A-01-TS1.50EA1B31-F52E-406B-A34B-24DC8E25DB3B,1.0,1.0,0.003499502083286643,0.9965004920959473
TCGA-V1-A9OF-01A-01-TS1.38902575-95B8-4490-A23A-A29CCC93531E,1.0,1.0,0.3990629017353058,0.6009370684623718
TCGA-V1-A9OF-01Z-00-DX1.37ADF4EC-28AD-4924-91F3-E8C943E258D2,1.0,1.0,0.008970575407147408,0.9910293817520142
TCGA-V1-A9OL-01Z-00-DX1.1E81143A-3C49-4A79-8800-1B63D4213B66,0.0,0.0,0.9530066847801208,0.04699329286813736
TCGA-V1-A9OL-01A-01-TSA.BBF8793F-C75D-46BC-9229-C5EB90C3CAE7,0.0,0.0,0.9822921752929688,0.017707886174321175
TCGA-V1-A9ZI-01A-01-TSA.D935448D-B594-4ECA-8AFC-2CD9A72ACFA5,1.0,0.0,0.9565897583961487,0.043410249054431915
TCGA-V1-A9ZI-01Z-00-DX1.66AC3D31-41CB-4CF8-907D-4B61D30DA2D4,1.0,0.0,0.9196271300315857,0.08037280291318893
